rank,cid,label,score
1,856021,0,8.969166666666668
2,49826149,0,8.95423521348906
3,14737278,0,8.95071794871795
4,4251083,0,8.95071794871795
5,24800240,0,8.95071794871795
6,22416728,0,8.95071794871795
7,49720923,0,8.95071794871795
8,26719804,0,8.95071794871795
9,14721221,0,8.95071794871795
10,49730546,0,8.95071794871795
11,865281,0,8.95071794871795
12,17505806,0,8.95071794871795
13,14720806,0,8.95071794871795
14,14724386,0,8.95071794871795
15,11533021,0,8.95071794871795
16,24798830,0,8.95071794871795
17,17387038,0,8.95071794871795
18,17386010,0,8.95071794871795
19,17402769,0,8.95071794871795
20,4255480,0,8.95071794871795
21,865509,0,8.95071794871795
22,852910,0,8.95071794871795
23,24794757,0,8.95071794871795
24,846903,0,8.95071794871795
25,24788673,0,8.95071794871795
26,24820077,0,8.95071794871795
27,845998,0,8.79115029052889
28,3717943,0,8.760833333333332
29,24780325,0,8.760833333333332
30,4255133,0,8.760833333333332
31,24782191,0,8.760833333333332
32,4243636,0,8.760833333333332
33,17386732,0,8.760833333333332
34,4243967,0,8.760833333333332
35,49821002,0,8.760833333333332
36,4240748,0,8.760833333333332
37,17512954,0,8.760833333333332
38,24783100,0,8.760833333333332
39,850563,0,8.760833333333332
40,26657817,0,8.760833333333332
41,844521,0,8.760833333333332
42,14744734,0,8.760833333333332
43,22401399,0,8.760833333333332
44,17511548,0,8.760833333333332
45,855845,0,8.760833333333332
46,49818309,0,8.760833333333332
47,14724953,0,8.760833333333332
48,850049,0,8.760833333333332
49,14743089,0,8.760833333333332
50,24779113,0,8.760833333333332
51,49824852,0,8.760833333333332
52,14722454,0,8.760833333333332
53,4246104,0,8.760833333333332
54,865044,0,8.760833333333332
55,3711979,0,8.760833333333332
56,24798399,0,8.760833333333332
57,853244,0,8.760833333333332
58,843583,0,8.760833333333332
59,17505445,0,8.760833333333332
60,17407142,0,8.760833333333332
61,24797713,0,8.760833333333332
62,24795423,0,8.760833333333332
63,7968970,0,8.760833333333332
64,49719116,0,8.760833333333332
65,17516459,0,8.760833333333332
66,17401645,0,8.760833333333332
67,24810179,0,8.760833333333332
68,857545,0,8.760833333333332
69,49671819,0,8.760833333333332
70,17403403,0,8.760833333333332
71,26732629,0,8.760833333333332
72,14731359,0,8.760833333333332
73,22413656,0,8.635686220475106
74,14737314,0,8.62877049180328
75,14732236,0,8.62877049180328
76,4262027,0,8.62877049180328
77,49717318,0,8.62877049180328
78,26731990,0,8.62877049180328
79,22401922,0,8.62877049180328
80,3712653,0,8.62877049180328
81,49826528,0,8.62877049180328
82,49646972,0,8.62877049180328
83,49728169,0,8.62877049180328
84,17411269,0,8.62877049180328
85,22404448,0,8.62877049180328
86,49818898,0,8.62877049180328
87,26659487,0,8.62877049180328
88,846466,0,8.62877049180328
89,17511455,0,8.62877049180328
90,852265,0,8.62877049180328
91,844157,0,8.62877049180328
92,14743243,0,8.62877049180328
93,24834760,0,8.62877049180328
94,14728650,0,8.62877049180328
95,26670461,0,8.62877049180328
96,860248,0,8.62877049180328
97,49819878,0,8.62877049180328
98,24811225,0,8.62877049180328
99,14728234,0,8.62877049180328
100,14734752,0,8.62877049180328
101,7965671,0,8.62877049180328
102,4243189,0,8.62877049180328
103,26658812,0,8.62877049180328
104,49827480,0,8.62877049180328
105,49732556,0,8.62877049180328
106,17506933,0,8.62877049180328
107,22409795,0,8.62877049180328
108,51089364,0,8.62877049180328
109,17408493,0,8.62877049180328
110,49828508,0,8.62877049180328
111,22406786,0,8.62877049180328
112,14742644,0,8.62877049180328
113,865401,0,8.62877049180328
